PERMNO,date,TICKER,PRC,VOL
84788,20070502,AMZN,61.18000,14471541
84788,20070503,AMZN,62.19000,13511853
84788,20070504,AMZN,63.23000,14310630
84788,20070507,AMZN,60.82000,14824070
84788,20070508,AMZN,61.83000,13560994
84788,20070509,AMZN,62.85000,9395984
84788,20070510,AMZN,60.92000,10087449
84788,20070511,AMZN,61.56000,8019185
84788,20070514,AMZN,61.70000,7790812
84788,20070515,AMZN,60.58000,8705528
84788,20070516,AMZN,63.22000,14451811
84788,20070517,AMZN,62.17000,11890418
84788,20070518,AMZN,63.30000,9858913
84788,20070521,AMZN,68.30000,36554345
84788,20070522,AMZN,68.88000,17267677
84788,20070523,AMZN,69.00000,42671042
84788,20070524,AMZN,69.35000,9987571
84788,20070525,AMZN,68.55000,9987371
84788,20070529,AMZN,69.63000,11759040
84788,20070530,AMZN,69.86000,10590222
84788,20070531,AMZN,69.14000,9367080
84788,20070601,AMZN,68.58000,7048985
84788,20070604,AMZN,70.42000,11393775
84788,20070605,AMZN,73.65000,30576964
84788,20070606,AMZN,72.29000,15743401
84788,20070607,AMZN,72.03990,24172394
84788,20070608,AMZN,73.24000,10208533
84788,20070611,AMZN,71.17000,11169133
84788,20070612,AMZN,70.07000,11860537
84788,20070613,AMZN,70.88800,11942988
84788,20070614,AMZN,71.94000,8289583
84788,20070615,AMZN,72.40000,9900681
84788,20070618,AMZN,71.83000,7819726
84788,20070619,AMZN,69.81000,11923941
84788,20070620,AMZN,69.10000,9237991
84788,20070621,AMZN,69.67000,7596148
84788,20070622,AMZN,68.86000,8724420
84788,20070625,AMZN,68.66000,7596179
84788,20070626,AMZN,67.48000,11249450
84788,20070627,AMZN,68.14000,8324576
84788,20070628,AMZN,68.89000,9792599
84788,20070629,AMZN,68.41000,5317593
84788,20070702,AMZN,69.61000,4923952
84788,20070703,AMZN,69.45000,2233543
84788,20070705,AMZN,68.73000,4487996
84788,20070706,AMZN,68.97000,4615543
